INPUT                   STACK                                                                                                                                                                                                    ACTION
----------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------
('if', 'if')            [0, '$']                                                                                                                                                                                                 SHIFT 18
('(', '(')              [18, 'if', 0, '$']                                                                                                                                                                                       SHIFT 30
('IDENTIFIER', 'x')     [30, '(', 18, 'if', 0, '$']                                                                                                                                                                              SHIFT 51
('==', '==')            [51, 'IDENTIFIER', 30, '(', 18, 'if', 0, '$']                                                                                                                                                            REDUCE 45
('==', '==')            [40, 'varName', 30, '(', 18, 'if', 0, '$']                                                                                                                                                               REDUCE 47
('==', '==')            [37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                  SHIFT 75
('LITERAL_INT', '100')  [75, '==', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                        REDUCE 14
('LITERAL_INT', '100')  [68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                        SHIFT 45
(')', ')')              [45, 'LITERAL_INT', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                     REDUCE 21
(')', ')')              [39, 'constant', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                        REDUCE 46
(')', ')')              [37, 'term', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                            REDUCE 80
(')', ')')              [105, 'expression', 68, 'relationalOperator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                     REDUCE 79
(')', ')')              [61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                            SHIFT 100
('{', '{')              [100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                                  SHIFT 119
('let', 'let')          [119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                                        SHIFT 17
('IDENTIFIER', 'y')     [17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 0, '$']                                                                                                                             SHIFT 28
