INPUT                     STACK                                                                                                                                                                                                                                                                               ACTION
------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------
('if', 'if')              [0, '$']                                                                                                                                                                                                                                                                            SHIFT 18
('(', '(')                [18, 'if', 0, '$']                                                                                                                                                                                                                                                                  SHIFT 30
('IDENTIFIER', 'x')       [30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                                                         SHIFT 51
('%', '%')                [51, 'IDENTIFIER', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                                       REDUCE 45
('%', '%')                [40, 'varName', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                                          REDUCE 47
('%', '%')                [37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                                             SHIFT 81
('LITERAL_INT', '10')     [81, '%', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                                    REDUCE 9
('LITERAL_INT', '10')     [69, 'arithmeticOperator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                   REDUCE 18
('LITERAL_INT', '10')     [67, 'operator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                             SHIFT 45
('==', '==')              [45, 'LITERAL_INT', 67, 'operator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                          REDUCE 21
('==', '==')              [39, 'constant', 67, 'operator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                             REDUCE 46
('==', '==')              [37, 'term', 67, 'operator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                                 SHIFT 75
('LITERAL_INT', '5')      [75, '==', 37, 'term', 67, 'operator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                                       REDUCE 14
('LITERAL_INT', '5')      [68, 'relationalOperator', 37, 'term', 67, 'operator', 37, 'term', 30, '(', 18, 'if', 0, '$']                                                                                                                                                                                       SHIFT 45
