INPUT                             STACK                                                                                                                                                                                                                                                                             ACTION
--------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------
('intijur', 'intijur')            [0, '$']                                                                                                                                                                                                                                                                          SHIFT 11
('IDENTIFIER', 'IDENTIFIER')      [11, 'intijur', 0, '$']                                                                                                                                                                                                                                                           REDUCE 34
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 0, '$']                                                                                                                                                                                                                                                           SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                         REDUCE 45
('=', '=')                        [27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                            SHIFT 57
('IDENTIFIER', 'LITERAL_INT')     [57, '=', 27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                   SHIFT 51
(';', ';')                        [51, 'IDENTIFIER', 57, '=', 27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                 REDUCE 45
(';', ';')                        [40, 'varName', 57, '=', 27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                    REDUCE 47
(';', ';')                        [37, 'term', 57, '=', 27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                       REDUCE 80
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                 REDUCE 61
(';', ';')                        [26, 'declare', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                            SHIFT 56
('flote', 'flote')                [56, ';', 26, 'declare', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                   REDUCE 59
('flote', 'flote')                [5, 'declarationStatement', 0, '$']                                                                                                                                                                                                                                               REDUCE 53
('flote', 'flote')                [3, 'statement', 0, '$']                                                                                                                                                                                                                                                          SHIFT 12
('IDENTIFIER', 'IDENTIFIER')      [12, 'flote', 3, 'statement', 0, '$']                                                                                                                                                                                                                                             REDUCE 35
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 0, '$']                                                                                                                                                                                                                                           SHIFT 28
(';', ';')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 0, '$']                                                                                                                                                                                                                         REDUCE 45
(';', ';')                        [27, 'varName', 4, 'dataType', 3, 'statement', 0, '$']                                                                                                                                                                                                                            REDUCE 60
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 0, '$']                                                                                                                                                                                                                            SHIFT 56
('let', 'let')                    [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 0, '$']                                                                                                                                                                                                                   REDUCE 59
('let', 'let')                    [5, 'declarationStatement', 3, 'statement', 0, '$']                                                                                                                                                                                                                               REDUCE 53
('let', 'let')                    [3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                          SHIFT 17
('IDENTIFIER', 'IDENTIFIER')      [17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                               SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                             REDUCE 45
('=', '=')                        [29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                SHIFT 60
('IDENTIFIER', 'LITERAL_FLOAT')   [60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                       SHIFT 51
(';', ';')                        [51, 'IDENTIFIER', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                     REDUCE 45
(';', ';')                        [40, 'varName', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                        REDUCE 47
(';', ';')                        [37, 'term', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                           REDUCE 80
(';', ';')                        [98, 'expression', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                     SHIFT 117
('bulen', 'bulen')                [117, ';', 98, 'expression', 60, '=', 29, 'varName', 17, 'let', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                           REDUCE 65
('bulen', 'bulen')                [6, 'letStatement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                       REDUCE 54
('bulen', 'bulen')                [3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                          SHIFT 13
('IDENTIFIER', 'IDENTIFIER')      [13, 'bulen', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                             REDUCE 36
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                           SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                         REDUCE 45
('=', '=')                        [27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                            SHIFT 57
('stonks', 'stonks')              [57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                   SHIFT 52
(';', ';')                        [52, 'stonks', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                     REDUCE 27
(';', ';')                        [47, 'booleanConstant', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                            REDUCE 23
(';', ';')                        [39, 'constant', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                   REDUCE 46
(';', ';')                        [37, 'term', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                       REDUCE 80
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                 REDUCE 61
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                            SHIFT 56
('bulen', 'bulen')                [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                   REDUCE 59
('bulen', 'bulen')                [5, 'declarationStatement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                               REDUCE 53
('bulen', 'bulen')                [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                          SHIFT 13
('IDENTIFIER', 'IDENTIFIER')      [13, 'bulen', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                             REDUCE 36
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                           SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                         REDUCE 45
('=', '=')                        [27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                            SHIFT 57
('not_stonks', 'not_stonks')      [57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                   SHIFT 53
(';', ';')                        [53, 'not_stonks', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                 REDUCE 28
(';', ';')                        [47, 'booleanConstant', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                            REDUCE 23
(';', ';')                        [39, 'constant', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                   REDUCE 46
(';', ';')                        [37, 'term', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                       REDUCE 80
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                 REDUCE 61
(';', ';')                        [26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                            SHIFT 56
('strin', 'strin')                [56, ';', 26, 'declare', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                   REDUCE 59
('strin', 'strin')                [5, 'declarationStatement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                               REDUCE 53
('strin', 'strin')                [3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                          SHIFT 14
('IDENTIFIER', 'IDENTIFIER')      [14, 'strin', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                             REDUCE 37
('IDENTIFIER', 'IDENTIFIER')      [4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                           SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                         REDUCE 45
('=', '=')                        [27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                            SHIFT 57
('IDENTIFIER', 'LITERAL_STRING')  [57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                   SHIFT 51
(';', ';')                        [51, 'IDENTIFIER', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                 REDUCE 45
(';', ';')                        [40, 'varName', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                    REDUCE 47
(';', ';')                        [37, 'term', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                       REDUCE 80
(';', ';')                        [95, 'expression', 57, '=', 27, 'varName', 4, 'dataType', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                 REDUCE 61
