INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                           ACTION
-------------------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------
('array', 'array')               [0, '$']                                                                                                                                                                                                                                                                                                                                                        SHIFT 22
('<', '<')                       [22, 'array', 0, '$']                                                                                                                                                                                                                                                                                                                                           SHIFT 54
('flote', 'flote')               [54, '<', 22, 'array', 0, '$']                                                                                                                                                                                                                                                                                                                                  SHIFT 90
('>', '>')                       [90, 'flote', 54, '<', 22, 'array', 0, '$']                                                                                                                                                                                                                                                                                                                     REDUCE 41
('>', '>')                       [89, 'elementType', 54, '<', 22, 'array', 0, '$']                                                                                                                                                                                                                                                                                                               SHIFT 111
('IDENTIFIER', 'IDENTIFIER')     [111, '>', 89, 'elementType', 54, '<', 22, 'array', 0, '$']                                                                                                                                                                                                                                                                                                     REDUCE 40
('IDENTIFIER', 'IDENTIFIER')     [16, 'arrayType', 0, '$']                                                                                                                                                                                                                                                                                                                                       REDUCE 39
('IDENTIFIER', 'IDENTIFIER')     [4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                                         SHIFT 28
(';', ';')                       [28, 'IDENTIFIER', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                       REDUCE 45
(';', ';')                       [27, 'varName', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                          REDUCE 60
(';', ';')                       [26, 'declare', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                          SHIFT 56
('if', 'if')                     [56, ';', 26, 'declare', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                 REDUCE 59
('if', 'if')                     [5, 'declarationStatement', 0, '$']                                                                                                                                                                                                                                                                                                                             REDUCE 53
('if', 'if')                     [3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                                        SHIFT 18
('(', '(')                       [18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                              SHIFT 30
('IDENTIFIER', 'IDENTIFIER')     [30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                     SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                   REDUCE 45
(')', ')')                       [40, 'varName', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                      REDUCE 47
(')', ')')                       [37, 'term', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                         REDUCE 80
(')', ')')                       [61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                   SHIFT 100
('{', '{')                       [100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                         SHIFT 119
('let', 'let')                   [119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                               SHIFT 17
('IDENTIFIER', 'IDENTIFIER')     [17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                    SHIFT 28
('=', '=')                       [28, 'IDENTIFIER', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                  REDUCE 45
('=', '=')                       [29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                     SHIFT 60
('IDENTIFIER', 'IDENTIFIER')     [60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                            SHIFT 51
(';', ';')                       [51, 'IDENTIFIER', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                          REDUCE 45
(';', ';')                       [40, 'varName', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                             REDUCE 47
(';', ';')                       [37, 'term', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                REDUCE 80
(';', ';')                       [98, 'expression', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                          SHIFT 117
('}', '}')                       [117, ';', 98, 'expression', 60, '=', 29, 'varName', 17, 'let', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                REDUCE 65
('}', '}')                       [6, 'letStatement', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                            REDUCE 54
('}', '}')                       [134, 'statement', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                             REDUCE 90
('}', '}')                       [133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                            SHIFT 148
('else', 'else')                 [148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                  SHIFT 159
('{', '{')                       [159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                                     SHIFT 166
('let', 'let')                   [166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                           SHIFT 17
('IDENTIFIER', 'IDENTIFIER')     [17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                                SHIFT 28
('=', '=')                       [28, 'IDENTIFIER', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                              REDUCE 45
('=', '=')                       [29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                 SHIFT 60
('IDENTIFIER', 'LITERAL_FLOAT')  [60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                        SHIFT 51
(';', ';')                       [51, 'IDENTIFIER', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                      REDUCE 45
(';', ';')                       [40, 'varName', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                         REDUCE 47
(';', ';')                       [37, 'term', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                            REDUCE 80
(';', ';')                       [98, 'expression', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                      SHIFT 117
('}', '}')                       [117, ';', 98, 'expression', 60, '=', 29, 'varName', 17, 'let', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                            REDUCE 65
('}', '}')                       [6, 'letStatement', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                        REDUCE 54
('}', '}')                       [134, 'statement', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                         REDUCE 90
('}', '}')                       [171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                                        SHIFT 172
('whil', 'whil')                 [172, '}', 171, 'statements', 166, '{', 159, 'else', 148, '}', 133, 'statements', 119, '{', 100, ')', 61, 'expression', 30, '(', 18, 'if', 3, 'statement', 0, '$']                                                                                                                                                                                              REDUCE 72
('whil', 'whil')                 [7, 'ifStatement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                      REDUCE 55
('whil', 'whil')                 [3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                                        SHIFT 19
('(', '(')                       [19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                            SHIFT 31
('IDENTIFIER', 'IDENTIFIER')     [31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                                   SHIFT 51
('>', '>')                       [51, 'IDENTIFIER', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                 REDUCE 45
('>', '>')                       [40, 'varName', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                    REDUCE 47
('>', '>')                       [37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                       SHIFT 71
('IDENTIFIER', 'LITERAL_INT')    [71, '>', 37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                              REDUCE 10
('IDENTIFIER', 'LITERAL_INT')    [68, 'relationalOperator', 37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                             SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 68, 'relationalOperator', 37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                           REDUCE 45
(')', ')')                       [40, 'varName', 68, 'relationalOperator', 37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                              REDUCE 47
(')', ')')                       [37, 'term', 68, 'relationalOperator', 37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                 REDUCE 80
(')', ')')                       [105, 'expression', 68, 'relationalOperator', 37, 'term', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                          REDUCE 79
(')', ')')                       [62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                                 SHIFT 101
('{', '{')                       [101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                                       SHIFT 120
('intijur', 'intijur')           [120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                                             SHIFT 11
('IDENTIFIER', 'IDENTIFIER')     [11, 'intijur', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                              REDUCE 34
('IDENTIFIER', 'IDENTIFIER')     [135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                            SHIFT 28
('=', '=')                       [28, 'IDENTIFIER', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                          REDUCE 45
('=', '=')                       [27, 'varName', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                             SHIFT 57
('IDENTIFIER', 'LITERAL_INT')    [57, '=', 27, 'varName', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                    SHIFT 51
(';', ';')                       [51, 'IDENTIFIER', 57, '=', 27, 'varName', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                  REDUCE 45
(';', ';')                       [40, 'varName', 57, '=', 27, 'varName', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                     REDUCE 47
(';', ';')                       [37, 'term', 57, '=', 27, 'varName', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                        REDUCE 80
(';', ';')                       [95, 'expression', 57, '=', 27, 'varName', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                  REDUCE 61
(';', ';')                       [26, 'declare', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                             SHIFT 56
('let', 'let')                   [56, ';', 26, 'declare', 135, 'dataType', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                    REDUCE 59
('let', 'let')                   [5, 'declarationStatement', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                  REDUCE 53
('let', 'let')                   [134, 'statement', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                           REDUCE 90
('let', 'let')                   [136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                                          SHIFT 17
('IDENTIFIER', 'IDENTIFIER')     [17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                               SHIFT 28
('[', '[')                       [28, 'IDENTIFIER', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                             REDUCE 45
('[', '[')                       [29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                                SHIFT 59
('IDENTIFIER', 'LITERAL_INT')    [59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                                       SHIFT 51
(']', ']')                       [51, 'IDENTIFIER', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                     REDUCE 45
(']', ']')                       [40, 'varName', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                        REDUCE 47
(']', ']')                       [37, 'term', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                           REDUCE 80
(']', ']')                       [97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                                     SHIFT 116
('=', '=')                       [116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                           SHIFT 131
('IDENTIFIER', 'IDENTIFIER')     [131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                                 SHIFT 51
('+', '+')                       [51, 'IDENTIFIER', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                               REDUCE 45
('+', '+')                       [40, 'varName', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                  REDUCE 47
('+', '+')                       [37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                                     SHIFT 77
('IDENTIFIER', 'LITERAL_INT')    [77, '+', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                            REDUCE 5
('IDENTIFIER', 'LITERAL_INT')    [69, 'arithmeticOperator', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                           REDUCE 18
('IDENTIFIER', 'LITERAL_INT')    [67, 'operator', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                                     SHIFT 51
('*', '*')                       [51, 'IDENTIFIER', 67, 'operator', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                   REDUCE 45
('*', '*')                       [40, 'varName', 67, 'operator', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                      REDUCE 47
('*', '*')                       [37, 'term', 67, 'operator', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                         SHIFT 79
('IDENTIFIER', 'IDENTIFIER')     [79, '*', 37, 'term', 67, 'operator', 37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 136, 'statements', 120, '{', 101, ')', 62, 'expression', 31, '(', 19, 'whil', 3, 'statement', 3, 'statement', 0, '$']                                                                                                                REDUCE 7
