INPUT                            STACK                                                                                                                                                                                                                                                                                                                                                                     ACTION
-------------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------
('intijur', 'intijur')           [0, '$']                                                                                                                                                                                                                                                                                                                                                                  SHIFT 11
('funkshun', 'funkshun')         [11, 'intijur', 0, '$']                                                                                                                                                                                                                                                                                                                                                   REDUCE 34
('funkshun', 'funkshun')         [4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                                                   SHIFT 25
('IDENTIFIER', 'IDENTIFIER')     [25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                                   SHIFT 34
('(', '(')                       [34, 'IDENTIFIER', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                                 REDUCE 19
('(', '(')                       [55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                               SHIFT 94
('array', 'array')               [94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                                      SHIFT 22
('<', '<')                       [22, 'array', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                         SHIFT 54
('intijur', 'intijur')           [54, '<', 22, 'array', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                SHIFT 93
('>', '>')                       [93, 'intijur', 54, '<', 22, 'array', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                 REDUCE 44
('>', '>')                       [89, 'elementType', 54, '<', 22, 'array', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                             SHIFT 111
('IDENTIFIER', 'IDENTIFIER')     [111, '>', 89, 'elementType', 54, '<', 22, 'array', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                   REDUCE 40
('IDENTIFIER', 'IDENTIFIER')     [16, 'arrayType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                     REDUCE 39
('IDENTIFIER', 'IDENTIFIER')     [114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                     SHIFT 129
(',', ',')                       [129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                  SHIFT 145
('intijur', 'intijur')           [145, ',', 129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                        SHIFT 11
('IDENTIFIER', 'IDENTIFIER')     [11, 'intijur', 145, ',', 129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                         REDUCE 34
('IDENTIFIER', 'IDENTIFIER')     [156, 'dataType', 145, ',', 129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                       SHIFT 163
(')', ')')                       [163, 'IDENTIFIER', 156, 'dataType', 145, ',', 129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                    REDUCE 94
(')', ')')                       [144, 'commaDataID', 129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                              REDUCE 91
(')', ')')                       [112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                                SHIFT 127
('{', '{')                       [127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                                      SHIFT 141
('coll', 'coll')                 [141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                            SHIFT 20
('IDENTIFIER', 'IDENTIFIER')     [20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                                SHIFT 34
('(', '(')                       [34, 'IDENTIFIER', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                              REDUCE 19
('(', '(')                       [33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                            SHIFT 64
('IDENTIFIER', 'IDENTIFIER')     [64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                   SHIFT 51
(',', ',')                       [51, 'IDENTIFIER', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                 REDUCE 45
(',', ',')                       [40, 'varName', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                    REDUCE 47
(',', ',')                       [103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                      SHIFT 123
('IDENTIFIER', 'IDENTIFIER')     [123, ',', 103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                            SHIFT 51
(')', ')')                       [51, 'IDENTIFIER', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                          REDUCE 45
(')', ')')                       [40, 'varName', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                             REDUCE 47
(')', ')')                       [139, 'term', 123, ',', 103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                               REDUCE 99
(')', ')')                       [121, 'commaTerm', 103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                    SHIFT 138
(';', ';')                       [138, ')', 121, 'commaTerm', 103, 'term', 64, '(', 33, 'functionName', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                          REDUCE 96
(';', ';')                       [32, 'functionCall', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                            SHIFT 63
('bulen', 'bulen')               [63, ';', 32, 'functionCall', 20, 'coll', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                   REDUCE 75
('bulen', 'bulen')               [9, 'callStatement', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                        REDUCE 57
('bulen', 'bulen')               [134, 'statement', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                          REDUCE 90
('bulen', 'bulen')               [152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                                         SHIFT 13
('IDENTIFIER', 'IDENTIFIER')     [13, 'bulen', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                            REDUCE 36
('IDENTIFIER', 'IDENTIFIER')     [135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                                        SHIFT 28
('=', '=')                       [28, 'IDENTIFIER', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                      REDUCE 45
('=', '=')                       [27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                         SHIFT 57
('IDENTIFIER', 'IDENTIFIER')     [57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                SHIFT 51
('(', '(')                       [51, 'IDENTIFIER', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                              REDUCE 19
('(', '(')                       [33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                            SHIFT 64
('IDENTIFIER', 'IDENTIFIER')     [64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                   SHIFT 51
(',', ',')                       [51, 'IDENTIFIER', 64, '(', 33, 'functionName', 57, '=', 27, 'varName', 135, 'dataType', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                 REDUCE 45
