INPUT                             STACK                                                                                                                                                                                                                                    ACTION
--------------------------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------
('intijur', 'intijur')            [0, '$']                                                                                                                                                                                                                                 SHIFT 11
('funkshun', 'funkshun')          [11, 'intijur', 0, '$']                                                                                                                                                                                                                  REDUCE 34
('funkshun', 'funkshun')          [4, 'dataType', 0, '$']                                                                                                                                                                                                                  SHIFT 25
('IDENTIFIER', 'IDENTIFIER')      [25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                                  SHIFT 34
('(', '(')                        [34, 'IDENTIFIER', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                                REDUCE 19
('(', '(')                        [55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                              SHIFT 94
('strin', 'strin')                [94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                                     SHIFT 14
('IDENTIFIER', 'IDENTIFIER')      [14, 'strin', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                        REDUCE 37
('IDENTIFIER', 'IDENTIFIER')      [114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                                    SHIFT 129
(')', ')')                        [129, 'IDENTIFIER', 114, 'dataType', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                 REDUCE 92
(')', ')')                        [112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                               SHIFT 127
('{', '{')                        [127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                                     SHIFT 141
('array', 'array')                [141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                                           SHIFT 22
('<', '<')                        [22, 'array', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                              SHIFT 54
('intijur', 'intijur')            [54, '<', 22, 'array', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                     SHIFT 93
('>', '>')                        [93, 'intijur', 54, '<', 22, 'array', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                      REDUCE 44
('>', '>')                        [89, 'elementType', 54, '<', 22, 'array', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                  SHIFT 111
('IDENTIFIER', 'IDENTIFIER')      [111, '>', 89, 'elementType', 54, '<', 22, 'array', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                        REDUCE 40
('IDENTIFIER', 'IDENTIFIER')      [16, 'arrayType', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                          REDUCE 39
('IDENTIFIER', 'IDENTIFIER')      [135, 'dataType', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                          SHIFT 28
(';', ';')                        [28, 'IDENTIFIER', 135, 'dataType', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                        REDUCE 45
(';', ';')                        [27, 'varName', 135, 'dataType', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                           REDUCE 60
(';', ';')                        [26, 'declare', 135, 'dataType', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                           SHIFT 56
('let', 'let')                    [56, ';', 26, 'declare', 135, 'dataType', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                  REDUCE 59
('let', 'let')                    [5, 'declarationStatement', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                REDUCE 53
('let', 'let')                    [134, 'statement', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                         REDUCE 90
('let', 'let')                    [152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                        SHIFT 17
('IDENTIFIER', 'IDENTIFIER')      [17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                             SHIFT 28
('[', '[')                        [28, 'IDENTIFIER', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                           REDUCE 45
('[', '[')                        [29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                              SHIFT 59
('IDENTIFIER', 'LITERAL_INT')     [59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                     SHIFT 51
(']', ']')                        [51, 'IDENTIFIER', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                   REDUCE 45
(']', ']')                        [40, 'varName', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                      REDUCE 47
(']', ']')                        [37, 'term', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                         REDUCE 80
(']', ']')                        [97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                   SHIFT 116
('=', '=')                        [116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                         SHIFT 131
('IDENTIFIER', 'LITERAL_CHAR')    [131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                               SHIFT 51
(';', ';')                        [51, 'IDENTIFIER', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']             REDUCE 45
(';', ';')                        [40, 'varName', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                REDUCE 47
(';', ';')                        [37, 'term', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                   REDUCE 80
(';', ';')                        [146, 'expression', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']            SHIFT 157
('let', 'let')                    [157, ';', 146, 'expression', 131, '=', 116, ']', 97, 'expression', 59, '[', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']  REDUCE 64
('let', 'let')                    [6, 'letStatement', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                     REDUCE 54
('let', 'let')                    [149, 'statement', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                      REDUCE 89
('let', 'let')                    [152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                                        SHIFT 17
('IDENTIFIER', 'IDENTIFIER')      [17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                                             SHIFT 28
('=', '=')                        [28, 'IDENTIFIER', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                           REDUCE 45
('=', '=')                        [29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                              SHIFT 60
('IDENTIFIER', 'IDENTIFIER')      [60, '=', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                                     SHIFT 51
('*', '*')                        [51, 'IDENTIFIER', 60, '=', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                   REDUCE 45
('*', '*')                        [40, 'varName', 60, '=', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                      REDUCE 47
('*', '*')                        [37, 'term', 60, '=', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                         SHIFT 79
('IDENTIFIER', 'LITERAL_INT')     [79, '*', 37, 'term', 60, '=', 29, 'varName', 17, 'let', 152, 'statements', 141, '{', 127, ')', 112, 'parameterList', 94, '(', 55, 'functionName', 25, 'funkshun', 4, 'dataType', 0, '$']                                                REDUCE 7
